"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.851488377126532,0.445745306373307,NA,0.26437396194603,0.764200239715272,1.92143595482518
"2","Geomean Spawners (NOR)",327.479773284601,188.209240091196,NA,17.7208442296698,313.339592556376,717.458017076444
"3","QET Threshold -100 (Mean not median)",0.4354,0.495834070171176,1.13880126359939,0,0.4354,1
"4","SAR",0.0599047630326931,0.0153517469916101,0.256269221584799,0.0304307413650893,0.0599488248039528,0.0903290031261945
"5","First 5 Years Average Marine Survival",0.0293148497548333,0.00701721556492994,0.239374092776067,0.0184685715416667,0.0286475483333333,0.045084876625
"6","DPS",0.950417006480718,0.0158669054047347,0.0166946774905554,0.937280437397823,0.9508297875138,0.978115575216848
"7","DPE",0.896383895899768,0.00370614483900217,0.00413455089493997,0.896973595852385,0.89698,0.89698
"8","DPE*DPS",0.851935343537477,0.0144816844384884,0.0169985721901809,0.839584681589287,0.852841109573723,0.87734802218884
