"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.618102845110361,0.317555955816412,NA,0.186808167458419,0.557122806246874,1.38194668981377
"2","Geomean Spawners (NOR)",492.612783319547,344.304366996662,NA,9.66291946642273,446.821036381309,1277.26429827486
"3","QET Threshold -100 (Mean not median)",0.2651,0.441408511639065,1.66506417064906,0,0.2651,1
"4","SAR",0.0557734000649212,0.0142930058197749,0.256269221584799,0.0283320695468073,0.0558144230933354,0.0840994167036983
"5","First 5 Years Average Marine Survival",0.0293148497548333,0.00701721556492994,0.239374092776067,0.0184685715416667,0.0286475483333333,0.045084876625
"6","DPS",0.833584026533512,0.00607752550273315,0.00729083728728194,0.829473430405562,0.833341464398385,0.846758735704195
"7","DPE",0.651790454046825,0.0111735003025785,0.0171427799121706,0.645111584080857,0.648346403773633,0.676900820480174
"8","DPE*DPS",0.543323267184859,0.010208127155535,0.0187883121744938,0.53753519713921,0.540835357821434,0.566746203747881
