"","SS","A1","A2a","A2b","A3a","A3b","A4","NAA"
"1","Recruits Per Spawner (R/S)",1.30698503927929,1.07558157469926,1.07528349098116,0.64653453244425,0.509831440739012,1.05669204553513,0.486186627164954
"2","Geomean Spawners (NOR)",353.146276621781,189.495523394047,188.739351892546,46.4663657352654,27.185263546375,109.136833892119,13.1456510619907
"3","QET Threshold",0.9692,0.9993,0.9993,0.9999,0.9999,0.9873,0.9999
"4","SAR",0.0389846340084981,0.0389846340084981,0.0389846340084981,0.0389846340084981,0.0389846340084981,0.036096883341202,0.036096883341202
"5","Marine Survival",0.0424530450738435,0.0424530450738435,0.0424530450738435,0.0424530450738435,0.0424530450738435,0.0424530450738435,0.0424530450738435
"6","DPS",0.96521218994086,0.833598253480796,0.831537021178994,0.6913069968069,0.813648302703494,0.837134487247883,0.697913296401494
"7","DPE",0.827002556890257,0.651806901310706,0.650540266278004,0.466885433756811,0.337507371203351,0.7576325272,0.387851088710298
"8","DPS*DPE",0.798232131810196,0.543346139201978,0.540984222113459,0.32276187021457,0.274281728661605,0.634241315934534,0.270686818644065
