"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.443628622720906,0.232374995058491,NA,0.13589892444865,0.397177935987421,1.0020334715506
"2","Geomean Spawners (NOR)",112.73230359969,81.3936810843737,NA,3.13730883408419,100.261177734271,295.374419994213
"3","QET Threshold -100 (Mean not median)",0.7186,0.44970464020993,0.625806624283231,0,0.7186,1
"4","SAR",0.0599047630326931,0.0153517469916101,0.256269221584799,0.0304307413650893,0.0599488248039528,0.0903290031261945
"5","First 5 Years Average Marine Survival",0.0293148497548333,0.00701721556492994,0.239374092776067,0.0184685715416667,0.0286475483333333,0.045084876625
"6","DPS",0.687217945521505,0.0121556691949729,0.0176882301665571,0.678946860811125,0.686682928796769,0.713517471408391
"7","DPE",0.545941229219211,0.0223635722595838,0.0409633327960364,0.532623168161714,0.539092807547266,0.596201640960348
"8","DPE*DPS",0.37518517783095,0.0169434996336729,0.0451603651605536,0.365636124432492,0.371095052771607,0.41431282825061
