"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",3.19846751892899,2.49897207426222,0.781302939446138,0.731830506800062,2.51649508991433,10.3207185554526
"2","Geomean Spawners (NOR)",381.882113791644,394.199645513403,1.032254801356,65.1651637328211,256.905530212628,1415.76187206679
"3","QET Threshold -100 (Mean not median)",0.525,0.499624483612067,0.951665683070604,0,0.525,1
"4","SAR",0.0361068059726509,0.00574234884700065,0.159037851516143,0.0248777292852366,0.0362651631581146,0.0471482659395631
"5","Last 15 years Average Marine Survival",0.04154538592051,0.0202425912379278,0.48724041886766,0.0148498208620609,0.0373992407705348,0.0911978117559791
"6","First 5 Years Average Marine Survival",0.0438974204552467,0.0323652384119765,0.73729248954327,0.0100559964122246,0.0350662691985902,0.135224866034229
"7","DPS",0.822411250064133,0.165008352975737,0.200639707886862,0.670820393249937,0.979999999999999,0.980000000000001
"8","DPE",0.674895831633211,0.118350692678674,0.17536142191347,0.670820393249937,0.7576,0.7576
"9","DPE*DPS",0.568640995394709,0.187172781516378,0.329158085738185,0.45,0.742447999999999,0.742448000000001
