"","DET","A1","A2a","A2b","A3a","A3b","A4","NAA"
"1","Recruits Per Spawner (R/S)",1.42928160819465,1.47814462382768,1.47819819068879,0.971290500027589,0.680548435280026,1.44989561023627,0.515756534148659
"2","Geomean Spawners (NOR)",458.571928872543,503.08627657032,502.851407607895,152.843388935073,84.9289148573904,476.33485844864,28.9663444851682
"3","QET Threshold",0.476,0.4397,0.4398,0.8563,0.9477,0.46,0.9986
"4","SAR",0.0407894781755582,0.0407894781755582,0.0407894781755582,0.0407894781755582,0.0407894781755582,0.0407894781755582,0.0407894781755582
"5","Marine Survival",0.0423531077553607,0.0423531077553607,0.0423531077553607,0.0423531077553607,0.0423531077553607,0.0423531077553607,0.0423531077553607
"6","DPS",0.958450566080544,0.971505932343449,0.971511360181559,0.809782055965802,0.649358141345251,0.971491545765304,0.472732961494653
"7","DPE",0.905794673990166,0.938165921851095,0.938166160737606,0.647219560251212,0.617648578132404,0.911914756318852,0.559124604830971
"8","DPS*DPE",0.868159601491452,0.911437219346605,0.911442541829652,0.524218756101332,0.417789373675359,0.88592086531595,0.26525525365644
