"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.67045439083891,1.33072954885994,0.796627286657997,0.352186919744604,1.31350539871361,5.3967391780165
"2","Geomean Spawners (NOR)",72.5419247630171,66.4103120808307,0.915474910512542,21.8172944555372,56.3068039433832,213.480902888988
"3","QET Threshold -100 (Mean not median)",0.983,0.129335717138491,0.131572448767539,1,0.983,1
"4","SAR",0.0361068059726509,0.00574234884700065,0.159037851516143,0.0248777292852366,0.0362651631581146,0.0471482659395631
"5","Last 15 years Average Marine Survival",0.04154538592051,0.0202425912379278,0.48724041886766,0.0148498208620609,0.0373992407705348,0.0911978117559791
"6","First 5 Years Average Marine Survival",0.0438974204552467,0.0323652384119765,0.73729248954327,0.0100559964122246,0.0350662691985902,0.135224866034229
"7","DPS",0.678559458183076,0.0422272560673654,0.0622307383061668,0.670820393249937,0.693749316569361,0.708387965765266
"8","DPE",0.486307567245217,0.130274698697066,0.267885403130845,0.387742775509028,0.388192464617133,0.670820393249937
"9","DPE*DPS",0.328031501126246,0.0836860651018869,0.255115941043966,0.26972528552283,0.271623203299802,0.45
