"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.943086811203791,0.686655639434306,0.728093778087972,0.238570508566073,0.747190497140663,2.84919498436888
"2","Geomean Spawners (NOR)",88.5723223707484,92.5804298363819,1.04525236957044,24.5217923720439,65.2054991439859,295.27063567585
"3","QET Threshold -100 (Mean not median)",0.967,0.178725887724591,0.184825116571448,0,0.967,1
"4","SAR",0.0408006907490955,0.00648885419711073,0.159037851516143,0.0281118340923174,0.0409796343686695,0.0532775405117063
"5","Last 15 years Average Marine Survival",0.04154538592051,0.0202425912379278,0.48724041886766,0.0148498208620609,0.0373992407705348,0.0911978117559791
"6","First 5 Years Average Marine Survival",0.0434332585465104,0.0331279190402144,0.762731605889978,0.0104247829191672,0.0334805220603143,0.131421918119073
"7","DPS",0.538940877046258,0.0924262738427962,0.171496128386756,0.467676034527116,0.485450516258202,0.670820393249937
"8","DPE",0.592619354442944,0.10648198365005,0.179680232938295,0.537619796910305,0.634574294250725,0.670820393249937
"9","DPE*DPS",0.324720843939588,0.0975848508764866,0.300519208106769,0.27,0.301756815231411,0.45
