"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",2.8621556552346,2.23794627199445,0.781909351401438,0.647516358767369,2.24509977782215,9.37163314699483
"2","Geomean Spawners (NOR)",286.725838680063,303.566481882112,1.0587343061915,53.9479643572082,190.260692047097,1083.96862243188
"3","QET Threshold -100 (Mean not median)",0.647,0.47814184048211,0.739013663805425,0,0.647,1
"4","SAR",0.0361068059726509,0.00574234884700065,0.159037851516143,0.0248777292852366,0.0362651631581146,0.0471482659395631
"5","Last 15 years Average Marine Survival",0.04154538592051,0.0202425912379278,0.48724041886766,0.0148498208620609,0.0373992407705348,0.0911978117559791
"6","First 5 Years Average Marine Survival",0.0438974204552467,0.0323652384119765,0.73729248954327,0.0100559964122246,0.0350662691985902,0.135224866034229
"7","DPS",0.749438398613788,0.0991504152929601,0.132299619923873,0.670820393249937,0.794979514233571,0.893169062540571
"8","DPE",0.674895545737853,0.118349725621139,0.175360063299497,0.670820393249937,0.7576,0.7576
"9","DPE*DPS",0.513353613707007,0.137940142126742,0.268703946838231,0.45,0.602276479983353,0.676664881780737
