"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",2.33605467730341,1.69023372781896,0.723542023327146,0.584739755392915,1.81232607162719,6.97321015255557
"2","Geomean Spawners (NOR)",587.994188816523,583.732936986796,0.992752901455875,91.0948779337986,411.142508114584,2076.03394630045
"3","QET Threshold -100 (Mean not median)",0.647,0.47814184048211,0.739013663805425,0,0.647,1
"4","SAR",0.0408006907490955,0.00648885419711073,0.159037851516143,0.0281118340923174,0.0409796343686695,0.0532775405117063
"5","Last 15 years Average Marine Survival",0.04154538592051,0.0202425912379278,0.48724041886766,0.0148498208620609,0.0373992407705348,0.0911978117559791
"6","First 5 Years Average Marine Survival",0.0434332585465104,0.0331279190402144,0.762731605889978,0.0104247829191672,0.0334805220603143,0.131421918119073
"7","DPS",0.773374650955685,0.198276417808254,0.256378221814275,0.670820393249937,0.670820393249937,0.978166289708013
"8","DPE",0.770708646152964,0.169852948101868,0.220385419249801,0.670820393249937,0.670820393249937,0.93839
"9","DPE*DPS",0.628406750754214,0.275389133321464,0.43823388751146,0.45,0.45,0.917893823729034
