"","FOS","A1","A2a","A2b","A3a","A3b","A4","NAA"
"1","Recruits Per Spawner (R/S)",0.691653114860784,0.691719349890473,0.691653114860784,0.305386583220872,0.307546085396559,0.609885710342413,0.306047443609012
"2","Geomean Spawners (NOR)",336.667275017479,336.622475904178,336.612190667605,62.3359198314792,63.2728632260351,267.537421558821,62.6646467586635
"3","QET Threshold",0.4428,0.4428,0.4428,0.781,0.7767,0.4662,0.7799
"4","SAR",0.0515009396963051,0.0515009396963051,0.0515009396963051,0.0515009396963051,0.0515009396963051,0.0515009396963051,0.0515009396963051
"5","Marine Survival",0.0286475483333333,0.0286475483333333,0.0286475483333333,0.0286475483333333,0.0286475483333333,0.0286475483333333,0.0286475483333333
"6","DPS",0.98,0.98,0.98,0.694922627488441,0.70181881906835,0.834110065052985,0.697450028503479
"7","DPE",0.7576,0.7576,0.7576,0.387804017282745,0.388232187187643,0.7576,0.387830476533153
"8","DPS*DPE",0.742448,0.742448,0.742448,0.269571561438942,0.272352518009589,0.631921785284141,0.27047621000448
