"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.945503951786178,0.490679504045453,NA,0.288341839930201,0.848860562173495,2.14914669627627
"2","Geomean Spawners (NOR)",839.274346988316,599.79711063259,NA,24.0387026234639,787.431250590615,1966.77046655643
"3","QET Threshold -100 (Mean not median)",0.2475,0.431581251026529,1.74376263041022,0,0.2475,1
"4","SAR",0.0583555019197786,0.0149547190521719,0.256269221584799,0.0296437394332335,0.0583984241624713,0.0879929082177584
"5","First 5 Years Average Marine Survival",0.0293148497548333,0.00701721556492994,0.239374092776067,0.0184685715416667,0.0286475483333333,0.045084876625
"6","DPS",0.971509017770629,0.00486422372171628,0.00500687449394804,0.967315101472224,0.972447201590572,0.978312490734876
"7","DPE",0.938164950671336,0.00155872536470659,0.00166146194610148,0.938373887392319,0.938388694488194,0.93839
"8","DPE*DPS",0.911439189684762,0.00540901659741004,0.0059345885700623,0.907708198629783,0.912255665487331,0.9180386581807
