"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.53223288388155,1.10817512725711,0.723241968577137,0.38599162625062,1.20447502657545,4.55614427689266
"2","Geomean Spawners (NOR)",244.903891281408,269.846954268512,1.10184837348477,49.3335990689416,155.998756541551,929.160174829994
"3","QET Threshold -100 (Mean not median)",0.823,0.381859682104326,0.463985032933567,0,0.823,1
"4","SAR",0.0408006907490955,0.00648885419711073,0.159037851516143,0.0281118340923174,0.0409796343686695,0.0532775405117063
"5","Last 15 years Average Marine Survival",0.04154538592051,0.0202425912379278,0.48724041886766,0.0148498208620609,0.0373992407705348,0.0911978117559791
"6","First 5 Years Average Marine Survival",0.0434332585465104,0.0331279190402144,0.762731605889978,0.0104247829191672,0.0334805220603143,0.131421918119073
"7","DPS",0.697329329832052,0.125744621755499,0.180323150591965,0.670820393249937,0.670820393249937,0.822467277249101
"8","DPE",0.634079183557073,0.0660104832693651,0.104104479347607,0.634574294250725,0.659760161982716,0.670820393249937
"9","DPE*DPS",0.446434114858179,0.101859772209956,0.228163056585212,0.45,0.45,0.541032579628319
