"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",3.1980777069114,2.49718222175091,0.780838506942537,0.732256372465219,2.52426398244361,10.2724283107046
"2","Geomean Spawners (NOR)",381.888455794911,394.210705230638,1.0322666193459,65.1651637328211,256.942331117955,1415.7548102725
"3","QET Threshold -100 (Mean not median)",0.525,0.499624483612067,0.951665683070604,0,0.525,1
"4","SAR",0.0361068059726509,0.00574234884700065,0.159037851516143,0.0248777292852366,0.0362651631581146,0.0471482659395631
"5","Last 15 years Average Marine Survival",0.04154538592051,0.0202425912379278,0.48724041886766,0.0148498208620609,0.0373992407705348,0.0911978117559791
"6","First 5 Years Average Marine Survival",0.0438974204552467,0.0323652384119765,0.73729248954327,0.0100559964122246,0.0350662691985902,0.135224866034229
"7","DPS",0.822413535471049,0.165006556705905,0.200636966184409,0.670820393249937,0.979999999999999,0.980000000000001
"8","DPE",0.674896056352412,0.118347675768163,0.175356893338201,0.670820393249937,0.7576,0.7576
"9","DPE*DPS",0.568641825612999,0.187169507624804,0.329151847778757,0.45,0.742447999999999,0.742448000000001
