"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.67668288068941,1.33558651210953,0.796564769338113,0.354973703336858,1.31193390315341,5.43950552279077
"2","Geomean Spawners (NOR)",73.1605975914629,67.1573010126543,0.917943581976576,21.985639326998,56.679175089167,217.137148519481
"3","QET Threshold -100 (Mean not median)",0.983,0.129335717138491,0.131572448767539,1,0.983,1
"4","SAR",0.0361068059726509,0.00574234884700065,0.159037851516143,0.0248777292852366,0.0362651631581146,0.0471482659395631
"5","Last 15 years Average Marine Survival",0.04154538592051,0.0202425912379278,0.48724041886766,0.0148498208620609,0.0373992407705348,0.0911978117559791
"6","First 5 Years Average Marine Survival",0.0438974204552467,0.0323652384119765,0.73729248954327,0.0100559964122246,0.0350662691985902,0.135224866034229
"7","DPS",0.68031840281285,0.0430361269131563,0.0632588016658359,0.670820393249937,0.696704271140127,0.708387965765266
"8","DPE",0.486583274852925,0.13006701251164,0.267306788444288,0.388038632502691,0.388561539163927,0.670820393249937
"9","DPE*DPS",0.328906855550768,0.0830863213893414,0.252613528684922,0.271330082469684,0.273474598661396,0.45
