"","GP","A1","A2a","A2b","A3a","A3b"
"1","Recruits Per Spawner (R/S)",1.37695761300717,0.733724320969845,0.726628575084366,0.733157482350028,0.521483674193394
"2","Geomean Spawners (NOR)",200.766053807406,33.3149829384468,32.7268074498302,33.239341350054,13.8731820709936
"3","QET Threshold",0.9785,0.9999,0.9999,0.9999,1
"4","SAR",0.0418723846757943,0.0418723846757943,0.0418723846757943,0.0418723846757943,0.0418723846757943
"5","Marine Survival",0.0423531077553607,0.0423531077553607,0.0423531077553607,0.0423531077553607,0.0423531077553607
"6","DPS",0.950424001982382,0.687210678605441,0.683046800274719,0.686708797680022,0.925970454044181
"7","DPE",0.896386634229599,0.545942550235948,0.543465794917007,0.545921458338607,0.286490787095446
"8","DPS*DPE",0.851944243401837,0.375181621044091,0.371356485436807,0.374891462950182,0.263965564352372
