"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",0.616595973607879,0.3168580536751,NA,0.186715284916967,0.555457295182818,1.38177570718902
"2","Geomean Spawners (NOR)",491.318496108376,343.503751445902,NA,9.53635873654087,445.804013624515,1274.17201300831
"3","QET Threshold -100 (Mean not median)",0.265,0.441355275767657,1.6654916066704,0,0.265,1
"4","SAR",0.0557734000649212,0.0142930058197749,0.256269221584799,0.0283320695468073,0.0558144230933354,0.0840994167036983
"5","First 5 Years Average Marine Survival",0.0293148497548333,0.00701721556492994,0.239374092776067,0.0184685715416667,0.0286475483333333,0.045084876625
"6","DPS",0.831529045004657,0.0109633602891575,0.0131845788851502,0.828520123534621,0.832268137023558,0.8460345656809
"7","DPE",0.650535397060277,0.0105920509236852,0.0162820516324706,0.645418805102203,0.648016047751512,0.674659266624031
"8","DPE*DPS",0.540974874540683,0.0126696193052011,0.0234199773436026,0.536905354852153,0.539847227552176,0.56568323645808
