"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.59790156822918,1.26183347225359,0.789681603261692,0.341196215201666,1.23883379172424,5.11167245136498
"2","Geomean Spawners (NOR)",143.74958961498,121.81239339362,0.847392981920037,43.5819708883462,113.725454640641,408.038785393613
"3","QET Threshold -100 (Mean not median)",0.982,0.133017644294634,0.135455849587203,1,0.982,1
"4","SAR",0.038995350450463,0.0062017367547607,0.159037851516143,0.0268679476280556,0.0391663762107637,0.0509201272147281
"5","Last 15 years Average Marine Survival",0.04154538592051,0.0202425912379278,0.48724041886766,0.0148498208620609,0.0373992407705348,0.0911978117559791
"6","First 5 Years Average Marine Survival",0.0438974204552467,0.0323652384119765,0.73729248954327,0.0100559964122246,0.0350662691985902,0.135224866034229
"7","DPS",0.754161830042262,0.0920117539384066,0.122005318053886,0.670820393249937,0.798512765181306,0.850673574206848
"8","DPE",0.454235365561157,0.156734820684613,0.3450519985184,0.328915238266577,0.36790672974714,0.670820393249937
"9","DPE*DPS",0.33086277427808,0.0838427847006188,0.253406521430396,0.27,0.289652528373841,0.45
