"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",3.19900048506784,2.49964734897415,0.78138386056579,0.732604301601673,2.51890227456248,10.2989910273427
"2","Geomean Spawners (NOR)",381.867967939425,394.178372640503,1.03223733262443,65.1720062288876,256.905797625985,1415.7687211049
"3","QET Threshold -100 (Mean not median)",0.525,0.499624483612067,0.951665683070604,0,0.525,1
"4","SAR",0.0361068059726509,0.00574234884700065,0.159037851516143,0.0248777292852366,0.0362651631581146,0.0471482659395631
"5","Last 15 years Average Marine Survival",0.04154538592051,0.0202425912379278,0.48724041886766,0.0148498208620609,0.0373992407705348,0.0911978117559791
"6","First 5 Years Average Marine Survival",0.0438974204552467,0.0323652384119765,0.73729248954327,0.0100559964122246,0.0350662691985902,0.135224866034229
"7","DPS",0.822401806343888,0.165015343132935,0.200650511538315,0.670820393249937,0.979999999999999,0.980000000000001
"8","DPE",0.674896831042774,0.118346548264688,0.175355021421321,0.670820393249937,0.7576,0.7576
"9","DPE*DPS",0.568637884920488,0.187176366644131,0.329166191011532,0.45,0.742447999999999,0.742448000000001
