"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",2.2404361295078,1.59258114524076,0.710835325437564,0.586656905453732,1.77539535555121,6.64316160129778
"2","Geomean Spawners (NOR)",545.112769399036,553.889478895957,1.01610072262038,85.6493467229738,372.587114948823,2001.15237792269
"3","QET Threshold -100 (Mean not median)",0.661,0.473606696852255,0.716500297809765,0,0.661,1
"4","SAR",0.0408006907490955,0.00648885419711073,0.159037851516143,0.0281118340923174,0.0409796343686695,0.0532775405117063
"5","Last 15 years Average Marine Survival",0.04154538592051,0.0202425912379278,0.48724041886766,0.0148498208620609,0.0373992407705348,0.0911978117559791
"6","First 5 Years Average Marine Survival",0.0434332585465104,0.0331279190402144,0.762731605889978,0.0104247829191672,0.0334805220603143,0.131421918119073
"7","DPS",0.767208543668665,0.192630658631631,0.25107991851929,0.670820393249937,0.670820393249937,0.977799228959101
"8","DPE",0.755390091716781,0.155382440636647,0.205698277407251,0.670820393249937,0.670820393249937,0.90607
"9","DPE*DPS",0.60799356363959,0.254921968228614,0.419283991597858,0.45,0.45,0.885948814048617
