"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.67046955667749,1.32957827536641,0.795930862703597,0.354051622758235,1.30918547326155,5.42023890623722
"2","Geomean Spawners (NOR)",72.5396805726782,66.3879434999959,0.915194869564957,21.8948381341033,56.2756968354245,213.672319806808
"3","QET Threshold -100 (Mean not median)",0.983,0.129335717138491,0.131572448767539,1,0.983,1
"4","SAR",0.0361068059726509,0.00574234884700065,0.159037851516143,0.0248777292852366,0.0362651631581146,0.0471482659395631
"5","Last 15 years Average Marine Survival",0.04154538592051,0.0202425912379278,0.48724041886766,0.0148498208620609,0.0373992407705348,0.0911978117559791
"6","First 5 Years Average Marine Survival",0.0438974204552467,0.0323652384119765,0.73729248954327,0.0100559964122246,0.0350662691985902,0.135224866034229
"7","DPS",0.678553144499892,0.0422223162292355,0.0622240373822955,0.670820393249937,0.693749316569361,0.70835108095349
"8","DPE",0.486308447256396,0.130274007154647,0.267883496348075,0.387742775509028,0.388192464617133,0.670820393249937
"9","DPE*DPS",0.328029661622222,0.0836871339532272,0.25512063006548,0.26972528552283,0.271623203299802,0.45
