"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.89292491410046,1.46717689706949,0.775084572103439,0.420825026232436,1.49504320373308,6.01479776588851
"2","Geomean Spawners (NOR)",111.778464023617,95.2080310201887,0.851756479674592,31.9443035940586,84.633908782872,341.782558206949
"3","QET Threshold -100 (Mean not median)",0.942,0.233860408557521,0.248259457067432,0,0.942,1
"4","SAR",0.041883894928275,0.00666112466252075,0.159037851516143,0.0288581659708745,0.0420675892634129,0.0546919884898932
"5","Last 15 years Average Marine Survival",0.04154538592051,0.0202425912379278,0.48724041886766,0.0148498208620609,0.0373992407705348,0.0911978117559791
"6","First 5 Years Average Marine Survival",0.0438974204552467,0.0323652384119765,0.73729248954327,0.0100559964122246,0.0350662691985902,0.135224866034229
"7","DPS",0.704160058219803,0.111833455539075,0.158818232067582,0.670820393249937,0.676172798740235,1
"8","DPE",0.552662942459083,0.116601808616742,0.21098177507238,0.529728286217636,0.54727601372244,0.670820393249937
"9","DPE*DPS",0.379246117142414,0.0622772541764064,0.164213294115336,0.359832371660859,0.377770782865967,0.45
