"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.5131360889416,1.19755266512275,0.791437514361586,0.312201485924138,1.19433733185526,4.89701186820297
"2","Geomean Spawners (NOR)",69.6728288624521,52.6408156050275,0.755542963655902,21.6291057433596,56.9533150508236,197.652387225909
"3","QET Threshold -100 (Mean not median)",0.988,0.108939744206914,0.110262898994852,1,0.988,1
"4","SAR",0.041883894928275,0.00666112466252075,0.159037851516143,0.0288581659708745,0.0420675892634129,0.0546919884898932
"5","Last 15 years Average Marine Survival",0.04154538592051,0.0202425912379278,0.48724041886766,0.0148498208620609,0.0373992407705348,0.0911978117559791
"6","First 5 Years Average Marine Survival",0.0438974204552467,0.0323652384119765,0.73729248954327,0.0100559964122246,0.0350662691985902,0.135224866034229
"7","DPS",0.828041400714491,0.1495080714456,0.180556275708671,0.670820393249937,0.895941212935424,1
"8","DPE",0.421595803469844,0.186843623899218,0.443181887394149,0.27,0.347272773716098,0.670820393249937
"9","DPE*DPS",0.324454017500346,0.0964912444508667,0.29739574561059,0.27,0.300553184485278,0.45
