"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",2.27637353934019,1.6222232858939,0.712634924742671,0.59324494211215,1.80837596692875,6.60931274532283
"2","Geomean Spawners (NOR)",562.949901350287,566.501336754155,1.00630861715288,88.0587624827926,386.836521595283,2044.62823578071
"3","QET Threshold -100 (Mean not median)",0.655,0.475606140836303,0.726116245551607,0,0.655,1
"4","SAR",0.0408006907490955,0.00648885419711073,0.159037851516143,0.0281118340923174,0.0409796343686695,0.0532775405117063
"5","Last 15 years Average Marine Survival",0.04154538592051,0.0202425912379278,0.48724041886766,0.0148498208620609,0.0373992407705348,0.0911978117559791
"6","First 5 Years Average Marine Survival",0.0434332585465104,0.0331279190402144,0.762731605889978,0.0104247829191672,0.0334805220603143,0.131421918119073
"7","DPS",0.773351623030997,0.198225970535635,0.256320623933947,0.670820393249937,0.670820393249937,0.97810993148209
"8","DPE",0.758537959874347,0.157541261548758,0.207690675856031,0.670820393249937,0.670820393249937,0.91213
"9","DPE*DPS",0.616469815396336,0.262938095234576,0.426522254079107,0.45,0.45,0.892138618999163
