"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.66751712069451,1.32863519172695,0.796774542964564,0.353930966751472,1.3027906013753,5.3985724005734
"2","Geomean Spawners (NOR)",72.2580297493577,66.0545901572078,0.914148785765847,21.7611689669318,56.0438723781493,213.230328290984
"3","QET Threshold -100 (Mean not median)",0.983,0.129335717138491,0.131572448767539,1,0.983,1
"4","SAR",0.0361068059726509,0.00574234884700065,0.159037851516143,0.0248777292852366,0.0362651631581146,0.0471482659395631
"5","Last 15 years Average Marine Survival",0.04154538592051,0.0202425912379278,0.48724041886766,0.0148498208620609,0.0373992407705348,0.0911978117559791
"6","First 5 Years Average Marine Survival",0.0438974204552467,0.0323652384119765,0.73729248954327,0.0100559964122246,0.0350662691985902,0.135224866034229
"7","DPS",0.677543823426204,0.0418148014224227,0.0617152721000003,0.670820393249937,0.691339188992053,0.707271424051938
"8","DPE",0.486292042299222,0.130286515705227,0.267918255641659,0.387698503254869,0.388202531500825,0.670820393249937
"9","DPE*DPS",0.327626854789707,0.0839674155924574,0.25628978322413,0.269234318133901,0.271226459214352,0.45
