"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",2.86237571806789,2.24149276902559,0.7830882420071,0.642901962123927,2.22862702248357,9.19097725589038
"2","Geomean Spawners (NOR)",287.105878093817,304.555053425316,1.06077609921242,53.8588737480367,187.532818516994,1091.71091983159
"3","QET Threshold -100 (Mean not median)",0.645,0.478752758952055,0.74225233946055,0,0.645,1
"4","SAR",0.0361068059726509,0.00574234884700065,0.159037851516143,0.0248777292852366,0.0362651631581146,0.0471482659395631
"5","Last 15 years Average Marine Survival",0.04154538592051,0.0202425912379278,0.48724041886766,0.0148498208620609,0.0373992407705348,0.0911978117559791
"6","First 5 Years Average Marine Survival",0.0438974204552467,0.0323652384119765,0.73729248954327,0.0100559964122246,0.0350662691985902,0.135224866034229
"7","DPS",0.749545017516054,0.099251168071128,0.132415219568853,0.670820393249937,0.794979514233571,0.893169062540571
"8","DPE",0.674895842368489,0.118351412729909,0.175362486031274,0.670820393249937,0.7576,0.7576
"9","DPE*DPS",0.513436283117785,0.138017994638791,0.268812312602242,0.45,0.602276479983353,0.676664881780737
