"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",1.13179812770816,0.943795356014894,0.833890190228564,0.222905229549263,0.857862974828511,3.65426471550055
"2","Geomean Spawners (NOR)",165.608288667786,186.122673267301,1.12387293392462,35.6732600107277,107.887283306289,623.005074082094
"3","QET Threshold -100 (Mean not median)",0.888,0.315524255098646,0.35532010709307,0,0.888,1
"4","SAR",0.0408006907490955,0.00648885419711073,0.159037851516143,0.0281118340923174,0.0409796343686695,0.0532775405117063
"5","Last 15 years Average Marine Survival",0.04154538592051,0.0202425912379278,0.48724041886766,0.0148498208620609,0.0373992407705348,0.0911978117559791
"6","First 5 Years Average Marine Survival",0.0434332585465104,0.0331279190402144,0.762731605889978,0.0104247829191672,0.0334805220603143,0.131421918119073
"7","DPS",0.622167609564603,0.0966691020808698,0.155374694205826,0.572020594972415,0.670820393249937,0.687410011694147
"8","DPE",0.620658969446162,0.157004085302614,0.252963532360959,0.631534803818715,0.670820393249937,0.761474140277642
"9","DPE*DPS",0.396835610058423,0.12481062394319,0.314514677563375,0.310526642569393,0.45,0.513253975194287
