"","","Mean","SD","CV",".0275","Median",".0975"
"1","Recruits Per Spawner (R/S)",3.21300395848261,2.47964865549862,0.771753999540563,0.750117387580023,2.55498956711804,10.36940769574
"2","Geomean Spawners (NOR)",787.393908571346,733.394626537515,0.931420244116687,145.823440901846,570.598388751499,2658.09566551379
"3","QET Threshold -100 (Mean not median)",0.48,0.499849827298009,1.04135380687085,0,0.48,1
"4","SAR",0.038995350450463,0.0062017367547607,0.159037851516143,0.0268679476280556,0.0391663762107637,0.0509201272147281
"5","Last 15 years Average Marine Survival",0.04154538592051,0.0202425912379278,0.48724041886766,0.0148498208620609,0.0373992407705348,0.0911978117559791
"6","First 5 Years Average Marine Survival",0.0438974204552467,0.0323652384119765,0.73729248954327,0.0100559964122246,0.0350662691985902,0.135224866034229
"7","DPS",0.831459571122008,0.1525680077143,0.183494198651677,0.670820393249937,0.950557015426953,0.978511178663298
"8","DPE",0.703795287365113,0.159955589835615,0.227275733025239,0.670820393249937,0.822958815946936,0.82729
"9","DPE*DPS",0.59799971784465,0.212382476020571,0.355154809748161,0.45,0.786386313292564,0.80951251299636
