"","FOS","A1","A2a","A2b","A3a","A3b","A4","NAA"
"1","Recruits Per Spawner (R/S)",3.19900048506784,3.19846751892899,3.1980777069114,1.66751712069451,1.67668288068941,2.86237571806789,1.67046955667749
"2","Geomean Spawners (NOR)",381.867967939425,381.882113791644,381.888455794911,72.2580297493577,73.1605975914629,287.105878093817,72.5396805726782
"3","QET Threshold",0.525,0.525,0.525,0.983,0.983,0.645,0.983
"4","SAR",0.0361068059726509,0.0361068059726509,0.0361068059726509,0.0361068059726509,0.0361068059726509,0.0361068059726509,0.0361068059726509
"5","Marine Survival",0.04154538592051,0.04154538592051,0.04154538592051,0.04154538592051,0.04154538592051,0.04154538592051,0.04154538592051
"6","early Marine Survival",0.0438974204552467,0.0438974204552467,0.0438974204552467,0.0438974204552467,0.0438974204552467,0.0438974204552467,0.0438974204552467
"7","DPS",0.822401806343888,0.822411250064133,0.822413535471049,0.677543823426204,0.68031840281285,0.749545017516054,0.678553144499892
"8","DPE",0.674896831042774,0.674895831633211,0.674896056352412,0.486292042299222,0.486583274852925,0.674895842368489,0.486308447256396
"9","DPS*DPE",0.568637884920488,0.568640995394709,0.568641825612999,0.327626854789707,0.328906855550768,0.513436283117785,0.328029661622222
