"","DET","A1","A2a","A2b","A3a","A3b","A4","NAA"
"1","Recruits Per Spawner (R/S)",2.2404361295078,2.33605467730341,2.33486139670071,1.53223288388155,1.13179812770816,2.27637353934019,0.943086811203791
"2","Geomean Spawners (NOR)",545.112769399036,587.994188816523,587.214414110422,244.903891281408,165.608288667786,562.949901350287,88.5723223707484
"3","QET Threshold",0.661,0.647,0.65,0.823,0.888,0.655,0.967
"4","SAR",0.0408006907490955,0.0408006907490955,0.0408006907490955,0.0408006907490955,0.0408006907490955,0.0408006907490955,0.0408006907490955
"5","Marine Survival",0.04154538592051,0.04154538592051,0.04154538592051,0.04154538592051,0.04154538592051,0.04154538592051,0.04154538592051
"6","early Marine Survival",0.0434332585465104,0.0434332585465104,0.0434332585465104,0.0434332585465104,0.0434332585465104,0.0434332585465104,0.0434332585465104
"7","DPS",0.767208543668665,0.773374650955685,0.773377044751742,0.697329329832052,0.622167609564603,0.773351623030997,0.538940877046258
"8","DPE",0.755390091716781,0.770708646152964,0.770829464795107,0.634079183557073,0.620658969446162,0.758537959874347,0.592619354442944
"9","DPS*DPE",0.60799356363959,0.628406750754214,0.628454225067711,0.446434114858179,0.396835610058423,0.616469815396336,0.324720843939588
