"","SS","A1","A2a","A2b","A3a","A3b","A4","NAA"
"1","Recruits Per Spawner (R/S)",0.727726642995455,0.557122806246874,0.555457295182818,0.351845080802064,0.302334053177973,0.609538357240433,0.305880053530755
"2","Geomean Spawners (NOR)",640.998965597448,446.821036381309,445.804013624515,164.827359838965,116.89115001606,264.927393609124,62.4663192795231
"3","QET Threshold",0.2278,0.2651,0.265,0.4603,0.5634,0.4613,0.7854
"4","SAR",0.0558144230933354,0.0558144230933354,0.0558144230933354,0.0558144230933354,0.0558144230933354,0.0516800213827179,0.0516800213827179
"5","Marine Survival",0.0286475483333333,0.0286475483333333,0.0286475483333333,0.0286475483333333,0.0286475483333333,0.0286475483333333,0.0286475483333333
"6","DPS",0.9654148937569,0.833341464398385,0.832268137023558,0.690935284922565,0.819862963552539,0.834110065052985,0.697450028503479
"7","DPE",0.82729,0.648346403773633,0.648016047751512,0.463714699243397,0.340014276723066,0.7576,0.387830476533153
"8","DPS*DPE",0.798678087456146,0.540835357821434,0.539847227552176,0.320881634741703,0.279763713797264,0.631921785284141,0.27047621000448
